Candidate	Party	Volume	Sentiment
Sanders	Democrat	3590	negative
Sanders	Democrat	4172	negative
Sanders	Democrat	3779	negative
Sanders	Democrat	3122	negative
Sanders	Democrat	5598	negative
Sanders	Democrat	3254	negative
Sanders	Democrat	4390	negative
Sanders	Democrat	5178	negative
Sanders	Democrat	254	negative
Sanders	Democrat	5834	negative
Sanders	Democrat	3828	negative
Sanders	Democrat	5588	negative
Sanders	Democrat	5615	negative
Sanders	Democrat	4164	negative
Sanders	Democrat	5758	negative
Sanders	Democrat	4024	negative
Sanders	Democrat	2441	negative
Sanders	Democrat	7642	positive
Sanders	Democrat	8222	positive
Sanders	Democrat	7105	positive
Sanders	Democrat	6991	positive
Sanders	Democrat	10761	positive
Sanders	Democrat	6463	positive
Sanders	Democrat	9894	positive
Sanders	Democrat	8528	positive
Sanders	Democrat	521	positive
Sanders	Democrat	10155	positive
Sanders	Democrat	8086	positive
Sanders	Democrat	13935	positive
Sanders	Democrat	13591	positive
Sanders	Democrat	8425	positive
Sanders	Democrat	10792	positive
Sanders	Democrat	7875	positive
Sanders	Democrat	5350	positive
Sanders	Democrat	11750	neutral
Sanders	Democrat	14253	neutral
Sanders	Democrat	9463	neutral
Sanders	Democrat	10075	neutral
Sanders	Democrat	19932	neutral
Sanders	Democrat	10458	neutral
Sanders	Democrat	18615	neutral
Sanders	Democrat	15522	neutral
Sanders	Democrat	1187	neutral
Sanders	Democrat	18128	neutral
Sanders	Democrat	10930	neutral
Sanders	Democrat	26379	neutral
Sanders	Democrat	17172	neutral
Sanders	Democrat	13441	neutral
Sanders	Democrat	16514	neutral
Sanders	Democrat	13509	neutral
Sanders	Democrat	7068	neutral
Clinton	Democrat	4924	negative
Clinton	Democrat	4837	negative
Clinton	Democrat	3712	negative
Clinton	Democrat	3451	negative
Clinton	Democrat	5074	negative
Clinton	Democrat	3245	negative
Clinton	Democrat	3804	negative
Clinton	Democrat	3918	negative
Clinton	Democrat	389	negative
Clinton	Democrat	6518	negative
Clinton	Democrat	5660	negative
Clinton	Democrat	3345	negative
Clinton	Democrat	6075	negative
Clinton	Democrat	3712	negative
Clinton	Democrat	4796	negative
Clinton	Democrat	4783	negative
Clinton	Democrat	4457	negative
Clinton	Democrat	6668	positive
