Party	Candidate	Volume	Topic
Democrat	Clinton	699	economy
Democrat	Clinton	433	immigration
Democrat	Clinton	2210	healthcare
Democrat	Clinton	2885	military
Democrat	Clinton	2199	guncontrol
Democrat	Clinton	1339	china
Democrat	Clinton	461	trade
Democrat	Clinton	3848	race
Democrat	Clinton	433	climatechange
Democrat	Clinton	991	religion
Democrat	Sanders	1071	economy
Democrat	Sanders	570	immigration
Democrat	Sanders	693	healthcare
Democrat	Sanders	2316	military
Democrat	Sanders	1104	guncontrol
Democrat	Sanders	1146	china
Democrat	Sanders	427	trade
Democrat	Sanders	3778	race
Democrat	Sanders	789	climatechange
Democrat	Sanders	629	religion
Republican	Trump	5607	economy
Republican	Trump	1732	immigration
Republican	Trump	2234	healthcare
Republican	Trump	10141	military
Republican	Trump	10247	guncontrol
Republican	Trump	6798	china
Republican	Trump	1565	trade
Republican	Trump	18826	race
Republican	Trump	1151	climatechange
Republican	Trump	5204	religion
Republican	Cruz	1232	economy
Republican	Cruz	1007	immigration
Republican	Cruz	894	healthcare
Republican	Cruz	1930	military
Republican	Cruz	4097	guncontrol
Republican	Cruz	2559	china
Republican	Cruz	488	trade
Republican	Cruz	2932	race
Republican	Cruz	226	climatechange
Republican	Cruz	8493	religion
