Month	Date	Candidate	Volume	Emotion
2/9/2016	2/9/2016	Clinton	833	Anger
2/20/2016	2/20/2016	Clinton	590	Anger
2/23/2016	2/23/2016	Clinton	525	Anger
2/27/2016	2/27/2016	Clinton	451	Anger
3/1/2016	3/1/2016	Clinton	648	Anger
3/5/2016	3/5/2016	Clinton	420	Anger
3/6/2016	3/6/2016	Clinton	584	Anger
3/8/2016	3/8/2016	Clinton	781	Anger
3/12/2016	3/12/2016	Clinton	54	Anger
3/15/2016	3/15/2016	Clinton	1704	Anger
3/22/2016	3/22/2016	Clinton	872	Anger
3/26/2016	3/26/2016	Clinton	917	Anger
4/5/2016	4/5/2016	Clinton	1015	Anger
4/9/2016	4/9/2016	Clinton	714	Anger
4/19/2016	4/19/2016	Clinton	979	Anger
4/26/2016	4/26/2016	Clinton	818	Anger
5/3/2016	5/3/2016	Clinton	775	Anger
2/9/2016	2/9/2016	Sanders	534	Anger
2/20/2016	2/20/2016	Sanders	705	Anger
2/23/2016	2/23/2016	Sanders	506	Anger
2/27/2016	2/27/2016	Sanders	673	Anger
3/1/2016	3/1/2016	Sanders	1098	Anger
3/5/2016	3/5/2016	Sanders	480	Anger
3/6/2016	3/6/2016	Sanders	446	Anger
3/8/2016	3/8/2016	Sanders	956	Anger
3/12/2016	3/12/2016	Sanders	42	Anger
3/15/2016	3/15/2016	Sanders	1792	Anger
3/22/2016	3/22/2016	Sanders	684	Anger
3/26/2016	3/26/2016	Sanders	674	Anger
4/5/2016	4/5/2016	Sanders	855	Anger
4/9/2016	4/9/2016	Sanders	860	Anger
4/19/2016	4/19/2016	Sanders	1855	Anger
4/26/2016	4/26/2016	Sanders	1071	Anger
5/3/2016	5/3/2016	Sanders	587	Anger
2/9/2016	2/9/2016	Clinton	784	Fear
2/20/2016	2/20/2016	Clinton	648	Fear
2/23/2016	2/23/2016	Clinton	595	Fear
2/27/2016	2/27/2016	Clinton	457	Fear
3/1/2016	3/1/2016	Clinton	611	Fear
3/5/2016	3/5/2016	Clinton	359	Fear
3/6/2016	3/6/2016	Clinton	414	Fear
3/8/2016	3/8/2016	Clinton	638	Fear
3/12/2016	3/12/2016	Clinton	31	Fear
3/15/2016	3/15/2016	Clinton	1793	Fear
3/22/2016	3/22/2016	Clinton	1212	Fear
3/26/2016	3/26/2016	Clinton	488	Fear
4/5/2016	4/5/2016	Clinton	1226	Fear
4/9/2016	4/9/2016	Clinton	648	Fear
4/19/2016	4/19/2016	Clinton	813	Fear
4/26/2016	4/26/2016	Clinton	583	Fear
5/3/2016	5/3/2016	Clinton	690	Fear
2/9/2016	2/9/2016	Sanders	428	Fear
2/20/2016	2/20/2016	Sanders	865	Fear
2/23/2016	2/23/2016	Sanders	491	Fear
2/27/2016	2/27/2016	Sanders	459	Fear
3/1/2016	3/1/2016	Sanders	546	Fear
3/5/2016	3/5/2016	Sanders	450	Fear
3/6/2016	3/6/2016	Sanders	378	Fear
3/8/2016	3/8/2016	Sanders	606	Fear
3/12/2016	3/12/2016	Sanders	50	Fear
3/15/2016	3/15/2016	Sanders	1028	Fear
3/22/2016	3/22/2016	Sanders	535	Fear
3/26/2016	3/26/2016	Sanders	508	Fear
4/5/2016	4/5/2016	Sanders	743	Fear
4/9/2016	4/9/2016	Sanders	632	Fear
4/19/2016	4/19/2016	Sanders	673	Fear
4/26/2016	4/26/2016	Sanders	655	Fear
5/3/2016	5/3/2016	Sanders	286	Fear
2/9/2016	2/9/2016	Clinton	657	Joy
